long,tiempo
1,11
2,26
3,67
4,176
5,371
6,493
7,871
8,1423
9,2198
10,3325
11,5971
12,9416
13,8882
14,11761
15,15452
16,25637
17,25980
18,39976
19,45766
20,57817
21,68752
22,105274
23,125322
24,150602
25,125651
26,136796
27,155106
28,182268
29,209402
30,241834
31,270098
32,309469
33,341086
34,386818
35,434940
36,484592
37,541831
38,605388
39,666059
40,768991
41,809608
42,888035
43,978705
44,1065101
45,1167337
46,1272759
47,1386606
48,1519880
49,1622414
50,1757866
51,1905613
52,2066009
53,2229186
54,2393021
55,2568576
56,2820752
57,2955720
58,3198037
59,3587234
60,3644753
61,3886130
62,4141078
63,4423819
64,4693625
65,5007510
66,5313507
67,5623688
68,5977297
69,6330571
70,6707298
71,7115211
72,7498199
73,7919157
74,8363858
75,8832827
76,9299723
77,9801370
78,10325600
79,10919304
