long,tiempo
1,10523
2,11984
3,9805
4,14118
5,20275
6,25462
7,33098
8,41649
9,48992
10,60196
11,69824
12,83301
13,94208
14,104599
15,118994
16,127239
17,146108
18,156982
19,175955
20,188296
21,206237
22,227375
23,250658
24,200855
25,212007
26,230300
27,312979
28,352076
29,388390
30,413414
31,440862
32,349236
33,349260
34,375709
35,398652
36,474151
37,590840
38,611352
39,475029
40,497409
41,523650
42,547620
43,580205
44,947507
45,977997
46,1022310
47,982057
48,1098510
49,1129227
50,1203787
51,1262076
52,1277434
53,1280851
54,1508535
55,1388510
56,1476637
57,1523240
58,1596832
59,1621038
60,1739836
61,1702723
62,2033858
63,1928432
64,2335924
65,2027282
66,2048426
67,2121489
68,2208045
69,2305354
70,2336614
71,2447635
72,2527860
73,2713103
74,2543137
75,2729931
76,2626120
77,2678341
78,2731310
79,2820086
80,2918574
81,3140605
82,3229117
83,3235663
84,3285963
85,3338220
86,3563218
87,3507907
88,3565984
89,3715463
90,3741339
91,4042754
92,4394920
93,4028247
94,3566023
95,4099311
96,4505251
97,4542207
98,4400926
99,4515306
100,4132117
101,2983968
102,3536951
103,4708518
104,4814198
105,4895876
106,4925628
107,4715799
108,5726744
109,6189412
110,6517215
111,6698193
112,6780009
113,6934602
114,6920927
115,7399154
116,7543014
117,7664735
118,7861523
119,7814593
120,7854126
121,8196270
122,8098421
123,8491309
124,8463831
125,8744170
126,8934846
127,8505175
128,9003627
129,7919404
130,8901593
131,12381682
132,7735550
133,9210427
134,9907451
135,9602074
136,10309690
137,10263844
138,10436548
139,11069611
140,10846370
141,10993482
142,11510683
143,11273494
144,11455744
145,11372544
146,12014456
147,11930095
148,11933629
149,12208746
